...1,age,female,hisp,education,earnings,hours,week,union,uncov,region,race,marital,l_earnings
660,43,1,0,13,53898,40,52,0,0,1,1,1,10.8948486504573
883,38,0,0,14,47000,45,52,0,0,1,1,1,10.7579028806922
134,48,0,0,13,70000,50,52,0,0,4,4,1,11.1562505210315
61,42,1,1,16,32000,40,52,0,0,3,1,1,10.3734911817819
570,24,0,0,13,35000,50,52,0,0,4,4,1,10.4631033404715
688,40,1,0,13,21000,40,52,0,0,3,1,5,9.95227771670556
900,41,1,0,12,36000,40,52,0,0,1,1,1,10.4912742174382
398,30,0,0,13,34635,40,52,0,0,2,2,1,10.4526200104567
273,30,0,0,13,65000,45,52,0,0,4,3,7,11.0821425488778
120,26,1,0,12,24000,64,52,0,0,2,1,7,10.0858091093301
286,20,1,0,12,22600,40,52,0,0,4,1,7,10.0257051852604
617,61,1,0,12,31000,40,52,0,0,2,1,1,10.3417424834673
205,48,1,0,16,60000,50,52,0,0,4,1,1,11.0020998412042
884,49,0,0,14,55000,40,52,0,0,3,2,1,10.9150884642146
650,32,1,1,12,62908,40,52,0,0,4,1,1,11.0494286206106
604,58,0,0,16,60000,50,52,0,0,3,1,5,11.0020998412042
208,70,1,0,13,180000,40,52,0,0,4,1,5,12.1007121298723
483,39,1,0,12,35000,40,52,0,0,3,2,5,10.4631033404715
882,47,0,0,13,80000,40,52,0,0,2,1,1,11.289781913656
700,42,0,0,12,389599,40,52,0,0,1,1,5,12.8728732840121
549,41,0,0,12,72000,70,52,0,0,2,1,1,11.1844213979982
928,36,1,1,6,10000,40,52,0,0,3,3,1,9.21034037197618
330,44,0,0,12,60000,40,52,0,0,2,1,1,11.0020998412042
59,55,0,0,14,90000,40,52,0,0,4,4,1,11.4075649493124
579,51,0,0,16,74000,45,52,0,0,2,1,1,11.2118203721863
386,34,0,1,12,33000,45,52,0,0,4,1,1,10.4042628404486
238,34,0,0,16,34000,40,52,0,0,1,1,7,10.4341158035983
508,40,0,0,18,86500,50,51,0,0,4,1,7,11.36789969292
127,35,1,0,16,51000,49,52,0,0,1,2,7,10.8395809117065
811,47,1,0,16,35000,45,52,0,0,3,1,1,10.4631033404715
429,44,1,0,16,40000,40,52,0,0,2,1,6,10.5966347330961
972,29,0,0,12,72000,42,52,0,0,1,1,5,11.1844213979982
992,43,1,0,16,44000,36,52,0,0,3,1,1,10.6919449129004
172,30,0,0,12,30000,40,52,0,0,1,1,7,10.3089526606443
543,40,1,0,12,36000,70,52,0,0,1,1,1,10.4912742174382
80,39,0,0,12,70000,40,52,0,0,3,1,1,11.1562505210315
923,53,0,0,12,104000,40,52,0,0,3,1,1,11.5521461781235
157,34,0,1,12,65000,50,52,0,0,3,1,1,11.0821425488778
798,55,1,0,13,30000,54,52,0,0,4,1,5,10.3089526606443
101,47,1,0,14,54500,70,52,0,0,1,1,1,10.9059559806513
484,51,1,0,18,45000,50,52,0,0,3,4,1,10.7144177687525
170,55,0,0,20,110000,60,52,0,0,1,4,7,11.6082356447746
590,36,1,0,12,15000,40,52,0,0,4,1,1,9.61580548008435
687,44,0,0,16,70000,45,52,0,0,3,1,1,11.1562505210315
762,55,0,0,13,42000,40,52,0,0,3,7,6,10.6454248972655
849,54,0,0,13,85000,40,52,0,0,2,1,1,11.3504065354725
930,42,0,0,12,24000,45,52,0,0,3,1,1,10.0858091093301
520,63,1,0,8,27532,40,52,0,0,3,2,5,10.2231042435183
948,49,0,0,13,80000,50,52,0,0,2,1,1,11.289781913656
559,65,1,0,13,27480,40,52,0,0,4,2,1,10.2212137463363
479,31,0,0,18,63000,42,52,0,0,4,1,1,11.0508900053737
473,55,1,1,12,15000,40,52,0,0,3,1,1,9.61580548008435
819,40,0,0,13,60000,45,52,0,0,1,1,1,11.0020998412042
295,27,1,0,16,20484,45,52,0,0,1,1,7,9.92739937258244
73,48,1,0,14,50000,40,52,0,0,1,4,1,10.8197782844103
571,48,0,0,16,48000,45,52,0,0,4,1,1,10.77895628989
136,47,0,0,12,54000,40,52,0,0,4,4,5,10.8967393255464
390,45,1,0,16,32000,45,52,0,0,2,1,5,10.3734911817819
129,43,0,0,16,48000,40,52,0,0,4,4,1,10.77895628989
246,61,0,0,16,389599,50,52,0,0,4,1,1,12.8728732840121
698,39,0,0,16,107000,40,52,0,0,2,1,1,11.580584113444
160,56,0,0,18,86900,40,52,0,0,4,1,1,11.3725133112535
96,49,0,0,16,80000,40,52,0,0,1,1,1,11.289781913656
914,33,1,0,12,75000,40,52,0,0,4,1,1,11.2252433925184
694,25,0,1,8,15000,40,52,0,0,3,1,1,9.61580548008435
25,62,0,0,12,30000,45,52,0,0,3,1,1,10.3089526606443
400,54,0,0,13,85000,50,52,0,0,4,1,1,11.3504065354725
39,42,0,0,16,48000,38,52,0,0,4,1,1,10.77895628989
328,57,0,0,13,75500,40,52,0,0,4,1,1,11.2318879352371
387,65,0,0,14,54000,40,52,0,0,4,4,5,10.8967393255464
308,27,0,1,11,12000,40,50,0,0,3,1,1,9.39266192877014
679,62,1,0,12,33000,40,52,0,0,2,1,1,10.4042628404486
106,26,1,0,18,50000,36,52,0,0,1,1,7,10.8197782844103
573,54,0,0,14,60000,40,52,0,0,3,1,1,11.0020998412042
991,52,0,0,12,48000,40,52,0,0,4,1,7,10.77895628989
817,61,0,0,13,42000,40,52,0,0,3,1,1,10.6454248972655
945,54,0,0,12,40000,40,52,0,0,2,1,1,10.5966347330961
469,28,0,0,16,16000,40,52,0,0,3,1,7,9.68034400122192
709,32,1,0,14,25000,40,52,0,0,2,1,1,10.1266311038503
739,31,0,0,20,36000,40,52,0,0,4,1,1,10.4912742174382
624,50,0,0,20,300,50,52,0,0,4,4,1,5.7037824746562
889,66,0,0,16,44200,40,52,0,0,2,1,1,10.6964800680658
66,28,1,0,18,62900,60,52,0,0,2,1,7,11.0493014426885
191,49,1,0,12,33280,40,52,0,0,2,1,5,10.4127118949351
920,51,0,0,13,60000,40,52,0,0,4,1,1,11.0020998412042
768,44,0,1,12,42000,40,52,0,0,3,1,1,10.6454248972655
474,45,0,0,12,40000,50,52,0,0,2,1,1,10.5966347330961
81,52,0,0,11,70000,40,52,0,0,4,1,1,11.1562505210315
195,45,0,0,12,125000,45,52,0,0,4,1,1,11.7360690162844
881,30,1,0,18,71800,45,52,0,0,1,1,1,11.1816397550363
720,48,0,0,12,22000,40,52,0,0,2,1,1,9.99879773234045
763,61,0,0,12,32000,40,52,0,0,2,1,1,10.3734911817819
272,49,0,0,20,75000,50,52,0,0,3,4,1,11.2252433925184
832,52,0,0,16,389599,55,52,0,0,3,1,1,12.8728732840121
890,52,0,0,13,35000,42,52,0,0,1,1,1,10.4631033404715
790,40,1,0,14,15800,38,52,0,0,3,2,5,9.66776521901506
910,55,1,0,16,35000,40,52,0,0,2,1,1,10.4631033404715
962,22,0,1,12,15000,40,52,0,0,3,1,3,9.61580548008435
597,41,0,1,13,50000,55,52,0,0,3,1,1,10.8197782844103
169,26,0,0,14,52500,70,52,0,0,2,1,1,10.8685684485797
41,53,0,0,16,63000,40,52,0,0,1,1,1,11.0508900053737
885,45,1,0,13,38000,40,52,0,0,3,1,7,10.5453414387085
865,53,0,0,13,33000,40,52,0,0,2,1,1,10.4042628404486
598,24,0,1,13,20000,40,52,0,0,4,1,7,9.90348755253613
552,52,0,0,12,45000,40,52,0,0,4,8,5,10.7144177687525
697,45,1,0,16,64000,45,52,0,0,4,1,1,11.0666383623418
457,55,1,1,6,11000,40,52,0,0,4,1,1,9.30565055178051
251,44,1,1,14,80000,36,48,0,0,4,1,1,11.289781913656
831,52,0,0,13,25000,40,52,0,0,1,1,7,10.1266311038503
734,55,0,0,16,90000,60,52,0,0,1,1,1,11.4075649493124
568,35,0,0,12,40000,40,52,0,0,3,2,1,10.5966347330961
606,56,0,0,12,56000,40,52,0,0,1,1,1,10.9331069697173
229,52,1,0,10,22000,40,52,0,0,2,1,1,9.99879773234045
161,53,1,1,12,15240,65,52,0,0,3,1,1,9.63167882924064
898,37,1,0,14,24000,40,52,0,0,1,1,5,10.0858091093301
432,48,0,0,12,22000,40,52,0,0,1,1,1,9.99879773234045
147,24,1,0,11,23300,40,50,0,0,2,1,1,10.0562086395538
986,25,1,0,16,43000,40,52,0,0,2,1,7,10.6689553946757
115,56,0,0,16,52000,50,52,0,0,2,1,1,10.8589989975636
978,39,1,0,14,27000,65,52,0,0,2,3,5,10.2035921449865
518,33,0,0,14,50500,40,52,0,0,3,1,1,10.8297286152635
490,39,0,0,14,25000,40,52,0,0,3,1,1,10.1266311038503
553,55,0,0,12,80000,50,52,0,0,2,7,1,11.289781913656
733,44,1,0,12,42100,77,52,0,0,1,1,5,10.6478030196705
657,39,0,0,16,70000,45,52,0,0,3,1,1,11.1562505210315
336,50,0,0,13,389599,50,52,0,0,2,1,1,12.8728732840121
927,53,0,0,16,60000,50,52,0,0,2,1,5,11.0020998412042
640,53,0,0,12,52000,40,52,0,0,3,1,7,10.8589989975636
795,30,1,0,16,30000,40,52,0,0,3,1,7,10.3089526606443
802,32,0,0,16,40000,40,52,0,0,3,2,7,10.5966347330961
704,38,0,0,14,56000,40,52,0,0,4,2,1,10.9331069697173
561,41,1,0,16,38000,40,52,0,0,3,1,1,10.5453414387085
792,27,0,0,13,30000,40,52,0,0,2,1,1,10.3089526606443
401,34,0,0,16,80000,40,52,0,0,4,4,1,11.289781913656
785,52,1,0,18,48000,40,52,0,0,2,1,1,10.77895628989
891,42,1,0,16,51000,55,52,0,0,2,1,1,10.8395809117065
349,55,1,0,13,35000,40,52,0,0,3,2,1,10.4631033404715
577,41,1,0,13,30000,40,52,0,0,3,2,5,10.3089526606443
641,48,0,0,12,43200,55,52,0,0,3,1,1,10.6735957742322
586,29,0,1,12,20800,40,52,0,0,3,1,7,9.94270826568941
767,63,0,1,13,24000,48,51,0,0,4,1,1,10.0858091093301
392,23,1,0,16,36400,40,52,0,0,3,1,7,10.5023240536248
837,49,0,0,13,65000,40,52,0,0,3,1,1,11.0821425488778
747,52,1,0,18,91000,53,52,0,0,1,1,5,11.418614785499
845,49,0,1,12,35000,45,52,0,0,2,1,1,10.4631033404715
482,44,0,0,13,60000,40,52,0,0,2,1,1,11.0020998412042
265,29,1,0,13,20000,40,52,0,0,2,1,7,9.90348755253613
374,49,0,0,12,15535,40,52,0,0,3,1,1,9.65085082182715
786,22,1,0,12,33000,40,52,0,0,4,2,7,10.4042628404486
863,49,1,0,16,26000,84,52,0,0,1,1,1,10.1658518170036
782,39,1,0,14,33000,40,52,0,0,3,2,5,10.4042628404486
42,38,1,0,18,85000,50,52,0,0,2,1,1,11.3504065354725
478,38,0,1,14,45000,50,52,0,0,3,1,1,10.7144177687525
830,22,0,0,12,15002,40,52,0,0,4,1,7,9.61593880452958
494,34,1,0,16,20000,40,52,0,0,2,1,1,9.90348755253613
799,23,0,0,12,35000,55,52,0,0,3,1,1,10.4631033404715
873,24,1,1,13,30000,40,52,0,0,4,1,7,10.3089526606443
29,46,1,1,11,14000,40,52,0,0,3,1,1,9.5468126085974
201,38,1,0,13,25000,40,52,1,0,3,2,6,10.1266311038503
862,32,1,0,12,37000,40,52,0,0,1,1,7,10.5186731916264
380,56,0,0,18,76000,40,52,0,0,1,1,1,11.2384886192685
548,49,1,0,14,46000,40,48,1,0,1,1,1,10.7363966754712
124,37,0,0,16,94000,50,52,1,0,4,4,1,11.4510500612521
897,58,1,0,12,20000,40,52,0,0,4,5,5,9.90348755253613
226,25,1,0,16,48100,40,52,0,0,3,2,1,10.7810374560939
447,39,1,0,12,10000,40,52,0,0,3,2,7,9.21034037197618
955,56,1,0,13,41562,40,52,0,0,2,1,1,10.6349415672507
257,49,1,0,14,65000,45,52,0,0,1,1,5,11.0821425488778
729,38,0,0,13,70000,50,52,0,0,4,1,1,11.1562505210315
196,42,0,0,14,45000,40,52,0,0,2,3,5,10.7144177687525
835,42,1,0,16,52001,40,52,0,0,3,1,1,10.8590182281479
142,54,1,0,16,62000,45,52,0,0,1,1,7,11.0348896640272
789,35,0,1,6,425,40,52,0,0,3,1,1,6.05208916892442
692,63,1,1,13,28800,40,52,0,0,4,1,7,10.268130666124
793,32,1,0,13,13000,40,48,0,0,3,2,5,9.47270463644367
971,67,1,0,12,25000,40,52,0,0,4,4,1,10.1266311038503
63,32,1,0,20,36000,40,52,0,0,3,1,1,10.4912742174382
143,60,1,0,13,35000,40,52,0,0,3,1,1,10.4631033404715
941,26,1,0,16,42999,40,52,0,0,1,1,7,10.6689321385913
715,39,1,1,12,45000,40,52,0,0,4,1,1,10.7144177687525
591,29,0,0,18,100000,50,52,0,0,1,1,1,11.5129254649702
84,34,1,0,13,75000,40,52,0,0,4,1,1,11.2252433925184
369,31,1,0,16,43000,40,52,0,0,3,1,1,10.6689553946757
689,49,1,0,12,34000,40,52,0,0,1,2,6,10.4341158035983
240,71,1,0,12,27000,40,52,0,0,3,1,5,10.2035921449865
138,24,0,0,16,20800,40,52,0,0,4,1,7,9.94270826568941
550,42,0,0,13,29000,40,52,0,0,4,4,1,10.2750511089686
267,51,0,0,18,50000,65,52,0,0,3,1,5,10.8197782844103
909,40,0,0,16,47000,45,52,0,0,4,1,1,10.7579028806922
870,74,0,0,20,99000,40,51,0,0,3,2,1,11.5028751291167
158,37,0,0,18,155000,60,48,0,0,1,1,7,11.9511803959014
76,51,0,0,12,25058,40,52,0,0,1,1,1,10.1289484168055
926,55,0,0,8,13200,40,52,0,0,2,4,4,9.48797210857446
601,54,1,0,20,40000,40,52,0,0,4,1,7,10.5966347330961
255,39,1,0,20,87571,40,52,0,0,3,4,1,11.3802051718869
610,31,0,0,12,17000,38,52,0,0,2,1,7,9.74096862303835
203,41,0,0,13,28000,45,52,0,0,3,1,5,10.2399597891573
475,42,1,0,12,53000,40,52,0,0,3,1,1,10.8780471925343
538,78,0,0,16,11000,40,52,0,0,3,1,1,9.30565055178051
838,36,0,0,18,50000,40,52,0,0,4,1,1,10.8197782844103
602,42,0,0,16,125000,50,52,0,0,3,1,1,11.7360690162844
580,54,1,0,16,35000,45,52,0,0,3,1,1,10.4631033404715
367,40,1,0,12,40002,40,52,0,0,3,4,1,10.5966847318461
22,26,0,0,14,45000,40,52,0,0,4,1,1,10.7144177687525
525,26,0,1,12,14000,40,52,0,0,4,1,1,9.5468126085974
822,36,0,0,16,67000,40,52,0,0,2,1,1,11.1124478983731
824,38,0,0,12,48000,50,52,0,0,1,1,1,10.77895628989
358,47,1,0,12,36000,48,52,0,0,4,1,1,10.4912742174382
728,50,1,0,13,50000,50,52,0,0,3,1,1,10.8197782844103
507,35,0,1,18,100000,50,52,0,0,3,1,7,11.5129254649702
710,28,0,0,11,22000,40,52,0,0,3,2,7,9.99879773234045
411,34,1,1,12,25000,40,52,0,0,4,1,1,10.1266311038503
695,39,0,1,20,66000,40,52,0,0,1,1,1,11.0974100210086
409,31,1,0,13,18000,40,52,0,0,3,2,7,9.7981270368783
616,31,0,0,12,52000,40,52,0,0,3,1,1,10.8589989975636
668,59,0,0,16,76544,40,52,1,0,2,1,1,11.2456210178702
154,32,0,0,16,48000,40,52,0,0,2,1,1,10.77895628989
299,28,0,0,13,70000,55,52,0,0,3,6,7,11.1562505210315
664,51,0,0,16,100000,50,52,0,0,2,1,1,11.5129254649702
480,44,1,0,16,76000,40,52,0,0,1,1,1,11.2384886192685
946,40,0,0,13,43000,40,52,0,0,2,2,5,10.6689553946757
805,50,0,0,11,45000,50,52,0,0,3,2,5,10.7144177687525
13,35,0,0,18,42000,45,52,0,0,3,1,1,10.6454248972655
804,39,1,0,12,29999,50,52,0,0,2,1,6,10.3089193267554
864,44,1,0,16,69069,45,52,0,0,2,1,1,11.1428612839125
215,35,0,0,12,100000,60,52,0,0,4,1,7,11.5129254649702
856,40,1,0,18,70000,40,52,0,0,4,4,1,11.1562505210315
437,37,1,0,12,41000,45,52,0,0,3,1,1,10.6213273456864
159,39,1,0,16,62000,40,52,0,0,1,1,2,11.0348896640272
572,59,1,0,16,42000,40,52,0,0,3,1,4,10.6454248972655
109,30,1,0,20,42391,60,52,0,0,4,1,5,10.6546913545379
949,61,0,0,13,45000,40,52,0,0,2,1,1,10.7144177687525
534,37,0,0,9,40000,40,52,0,0,1,1,1,10.5966347330961
333,63,0,1,8,28000,40,52,0,0,4,1,1,10.2399597891573
9,38,1,0,18,75000,45,52,0,0,3,1,1,11.2252433925184
876,46,0,0,16,40000,55,52,0,0,2,1,1,10.5966347330961
983,62,1,0,13,30000,38,52,0,0,4,1,5,10.3089526606443
535,27,0,0,13,81000,60,52,0,0,3,4,1,11.3022044336546
756,45,1,1,8,32000,40,52,0,0,4,1,1,10.3734911817819
509,57,1,0,14,5400,40,52,0,0,3,3,5,8.59415423255237
979,56,1,0,16,55000,50,50,0,0,2,1,1,10.9150884642146
867,28,0,0,16,68000,45,52,0,0,2,4,1,11.1272629841582
448,50,0,0,16,130000,50,50,0,0,3,1,1,11.7752897294377
647,51,0,0,14,50000,40,52,0,0,1,1,1,10.8197782844103
167,45,0,0,12,33500,40,52,0,0,1,1,1,10.4193007178132
852,44,0,0,18,110000,70,52,0,0,2,1,1,11.6082356447746
620,40,0,0,16,180000,45,52,0,0,4,1,1,12.1007121298723
894,31,1,0,13,39000,40,52,0,0,4,1,7,10.5713169251118
363,54,0,0,12,10400,40,50,0,0,3,2,1,9.24956108512946
423,32,0,0,12,41000,40,52,0,0,1,1,7,10.6213273456864
958,25,0,0,16,31000,40,52,0,0,4,1,7,10.3417424834673
